Rank,Country,country,continent,2024 population,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,Land Area (Km²),density (km²),Yearly Change,Net Change,Fert. Rate,Med. Age,Urban Pop %,growth rate,world percentage
33,ARG,Argentina,South America,46814308,45773884,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,"23,81,740",17,1.41%,"6,50,089",2.7,28,74%,0.58%,0.57%
34,DZA,Algeria,Africa,46042015,45606480,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,"4,34,320",19,2.15%,"9,67,966",3.2,21,72%,1.57%,0.56%
35,IRQ,Iraq,Asia,45696159,45504560,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,"27,36,690",105,0.35%,"1,57,758",1.5,33,95%,2.27%,0.56%
36,AFG,Afghanistan,Asia,42647492,42239854,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,"6,52,860",65,2.88%,"11,92,731",4.8,17,27%,2.70%,0.52%
37,POL,Poland,Europe,40583164,41026067,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,"5,27,970",134,3.03%,"11,92,365",4.5,18,33%,2.93%,0.50%
38,CAN,Canada,North America,39742430,38781291,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,"90,93,510",4,1.13%,"4,43,325",1.3,40,80%,0.85%,0.49%
39,MAR,Morocco,Africa,38539201,37840044,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,"3,06,230",85,-0.58%,"-2,23,643",1.3,42,59%,1.02%,0.47%
40,SAU,Saudi Arabia,Asia,38081173,36947025,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,"4,46,300",17,0.98%,"3,68,668",2.2,30,67%,1.48%,0.47%
41,UKR,Ukraine,Europe,37885849,36744634,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,"12,46,700",63,3.09%,"11,35,943",5,17,68%,-7.45%,0.46%
42,AGO,Angola,Africa,37860221,36684202,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,"5,79,320",29,0.34%,"1,27,385",1,42,79%,3.08%,0.46%
43,UZB,Uzbekistan,Asia,36361859,35163944,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,"4,25,400",80,1.99%,"7,09,552",3.5,27,48%,1.55%,0.45%
44,YEM,Yemen,Asia,35557673,34449825,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,"3,28,550",65,1.23%,"4,31,375",1.5,31,77%,2.24%,0.44%
45,PER,Peru,South America,34631766,34352719,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,"7,86,380",27,2.96%,"9,96,606",4.7,16,41%,0.89%,0.42%
46,MYS,Malaysia,Asia,34427414,34308525,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,"2,27,540",104,1.89%,"6,39,500",3.3,21,58%,1.09%,0.42%
47,GHA,Ghana,Africa,34217848,34121985,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,"12,80,000",150,1.10%,"3,72,231",2,30,80%,1.93%,0.42%
48,MOZ,Mozambique,Africa,33962757,33897354,32969518,31178239,26843246,23073723,17768505,13303459,11413587,8411676,"21,49,690",43,2.10%,"6,98,465",2.3,30,92%,2.81%,0.42%
49,NPL,Nepal,Asia,31964956,30896590,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,"5,81,795",216,2.47%,"7,69,024",3.9,19,40%,1.14%,0.39%
50,MDG,Madagascar,Africa,31934230,30325732,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,"3,18,000",52,2.47%,"7,68,576",4.2,18,49%,2.41%,0.39%
51,CIV,Ivory Coast,Africa,29651054,28873034,28160542,26811790,23596741,21120042,16799670,11910540,8303810,5477086,"1,43,350",91,-0.15%,"-43,560",2,25,24%,2.53%,0.36%
52,VEN,Venezuela,South America,29123744,28838499,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,"4,72,710",33,2.65%,"7,51,057",4.3,18,59%,1.90%,0.36%
53,CMR,Cameroon,Africa,28405543,28647293,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,"8,82,050",61,0.37%,"1,04,689",2.1,29,N.A.,2.63%,0.35%
54,NER,Niger,Africa,27032412,27202843,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,"12,66,700",21,3.34%,"8,72,545",5.9,15,18%,3.80%,0.33%
55,AUS,Australia,Oceania,26713205,26439111,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,"76,82,300",3,0.99%,"2,62,081",1.6,38,86%,1.00%,0.33%
56,PRK,North Korea,Asia,26498823,26160821,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,"1,20,410",217,0.31%,"80,619",1.8,36,63%,0.35%,0.32%
57,TWN,Taiwan,Asia,24672760,23923276,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,"1,83,630",661,4.57%,"10,78,137",2.7,23,53%,0.13%,0.30%
58,MLI,Mali,Africa,24478595,23293698,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,"12,20,190",19,2.98%,"7,09,468",5.5,16,44%,3.10%,0.30%
59,BFA,Burkina Faso,Africa,23548781,23251485,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,"2,73,600",85,2.27%,"5,23,005",4.1,17,33%,2.55%,0.29%
60,SYR,Syria,Asia,23213962,23227014,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,"35,410",126,-0.44%,"-1,03,183",0.9,44,83%,4.98%,0.28%
61,LKA,Sri Lanka,Asia,23103565,21893579,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,"62,710",354,0.57%,"1,31,948",2,33,18%,0.28%,0.28%
62,MWI,Malawi,Africa,21655286,20931751,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,"94,280",222,2.61%,"5,50,804",3.6,18,19%,2.58%,0.27%
63,ZMB,Zambia,Africa,21314956,20569737,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,"7,43,390",28,2.85%,"5,90,991",4,18,46%,2.76%,0.26%
64,ROU,Romania,Europe,20592571,19892812,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,"26,99,700",86,1.29%,"2,62,467",3,30,55%,1.19%,0.25%
65,CHL,Chile,South America,20299123,19629590,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,"12,59,200",26,5.07%,"9,80,059",6,16,22%,0.13%,0.25%
66,KAZ,Kazakhstan,Asia,19764771,19606633,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,"7,43,532",7,0.54%,"1,05,936",1.1,36,85%,1.08%,0.24%
67,TCD,Chad,Africa,19015088,18278568,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,"2,30,170",15,-0.54%,"-1,03,391",1.7,43,55%,3.13%,0.23%
68,ECU,Ecuador,South America,19009151,18190484,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,"6,27,340",73,3.54%,"6,50,536",6,16,46%,1.05%,0.23%
69,SOM,Somalia,Africa,18501984,18143378,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,"1,92,530",29,2.35%,"4,24,411",3.8,19,52%,3.10%,0.23%
70,GTM,Guatemala,North America,18406359,18092026,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,"1,07,160",169,1.55%,"2,81,521",2.3,23,56%,1.39%,0.23%
71,SEN,Senegal,Africa,18228742,17763163,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,"33,720",92,0.75%,"1,36,218",1.4,41,89%,2.58%,0.22%
72,NLD,Netherlands,Europe,18135478,17618299,17564014,17434557,17041107,16617117,15899135,14944548,14130387,13037686,"2,48,360",523,0.86%,"1,55,395",1.8,29,65%,0.31%,0.22%
73,KHM,Cambodia,Asia,17638801,16944826,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,"1,76,520",96,1.23%,"2,14,921",2.5,26,26%,1.06%,0.22%
74,ZWE,Zimbabwe,Africa,16634373,16665409,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,"3,86,850",43,1.80%,"2,93,551",3.7,18,38%,2.11%,0.20%
75,GIN,Guinea,Africa,14754785,14190612,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,"2,45,720",58,2.42%,"3,49,317",4.1,18,40%,2.39%,0.18%
76,RWA,Rwanda,Africa,14462724,14094683,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,"1,12,760",571,2.49%,"3,51,690",4.5,18,47%,2.31%,0.18%
77,BEN,Benin,Africa,14256567,13712828,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,"24,670",122,2.16%,"3,02,096",3.6,20,18%,2.70%,0.17%
78,BDI,Burundi,Africa,14047786,13238559,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,"25,680",516,2.62%,"3,58,336",4.8,16,14%,2.71%,0.17%
79,TUN,Tunisia,Africa,12413315,12458223,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,"10,83,300",80,1.38%,"1,69,156",2.5,25,70%,0.83%,0.15%
80,BOL,Bolivia,South America,12277109,12388571,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,"1,55,360",11,0.63%,"76,678",1.8,33,71%,1.35%,0.15%
81,HTI,Haiti,North America,11943408,11724763,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,"6,10,952",425,4.01%,"4,60,034",3.8,18,27%,1.21%,0.15%
82,BEL,Belgium,Europe,11772557,11686140,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,"27,560",386,1.16%,"1,35,159",2.6,24,61%,0.26%,0.14%
83,JOR,Jordan,Asia,11738763,11337052,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,"30,280",128,0.22%,"25,870",1.4,42,99%,0.45%,0.14%
84,DOM,Dominican Republic,North America,11552876,11332972,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,"88,780",235,0.99%,"1,13,663",2.6,25,84%,0.93%,0.14%
85,CUB,Cuba,North America,11427557,11194449,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,"48,320",108,0.85%,"96,292",2.2,28,86%,-0.16%,0.14%
86,SSD,South Sudan,Africa,11027129,11088796,10913164,10606227,11194299,9714419,6114440,4750817,4192012,3342410,"83,600",18,3.62%,"3,85,048",1.2,32,82%,1.61%,0.14%
87,SWE,Sweden,Europe,10979783,10612086,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,"1,06,440",26,-0.36%,"-40,148",1.4,42,81%,0.59%,0.13%
88,HND,Honduras,North America,10825703,10593798,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,"1,11,890",95,1.70%,"1,80,852",2.5,24,58%,1.54%,0.13%
89,CZE,Czech Republic,Europe,10735859,10495295,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,"77,240",136,-0.68%,"-73,857",1.5,43,74%,0.01%,0.13%
90,AZE,Azerbaijan,Asia,10606999,10412651,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,"4,10,340",126,0.53%,"55,505",1.4,40,87%,0.53%,0.13%
91,GRC,Greece,Europe,10590927,10341277,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,"1,39,960",80,1.94%,"2,01,128",3,22,27%,-0.42%,0.13%
92,PNG,Papua New Guinea,Oceania,10576502,10329931,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,"4,52,860",23,1.80%,"1,86,867",3.1,23,12%,1.85%,0.13%
93,PRT,Portugal,Europe,10425292,10247605,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,"91,590",112,-0.05%,"-5,446",1.5,47,66%,-0.23%,0.13%
94,HUN,Hungary,Europe,10336577,10156239,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,"82,658",111,0.18%,"18,370",1.7,33,58%,1.90%,0.13%
95,TJK,Tajikistan,Asia,10047817,10143543,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,"1,28,900",73,-1.90%,"-1,95,091",1.3,46,88%,1.92%,0.12%
96,ARE,United Arab Emirates,Asia,9676135,9516871,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,"90,530",134,-0.11%,"-10,328",1.5,44,72%,0.80%,0.12%
97,BLR,Belarus,Europe,9515236,9498238,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,"54,390",47,2.27%,"2,10,899",4.1,19,44%,-0.39%,0.12%
98,ISR,Israel,Asia,9387021,9174520,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,"21,640",424,1.41%,"1,30,707",2.8,29,91%,1.51%,0.12%
99,TGO,Togo,Africa,9120813,9053799,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,"82,409",166,-0.11%,"-9,616",1.3,43,58%,2.32%,0.11%
100,AUT,Austria,Europe,9056696,8958960,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,"2,02,910",109,-0.65%,"-58,984",1.2,41,84%,0.22%,0.11%
101,CHE,Switzerland,Europe,8921981,8796669,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,"39,516",223,0.58%,"51,420",1.4,43,74%,0.64%,0.11%
102,SLE,Sierra Leone,Africa,8642022,8791092,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,"72,180",122,2.15%,"1,81,510",3.7,19,45%,2.15%,0.11%
103,LAO,Laos,Asia,7769819,7633779,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,"2,30,800",33,1.37%,"1,04,826",2.4,25,38%,1.39%,0.10%
104,HKG,Hong Kong,Asia,7494498,7491609,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,"4,69,930",7135,1.77%,"1,30,060",2.7,27,46%,0.04%,0.09%
105,SRB,Serbia,Europe,7414909,7149077,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,"1,050",82,-0.37%,"-27,825",0.7,47,N.A.,-1.00%,0.09%
106,NIC,Nicaragua,North America,7381023,7046310,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,"17,59,540",59,1.03%,"75,364",2.3,27,77%,1.41%,0.09%
107,LBY,Libya,Africa,7186009,6888388,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,"1,91,800",4,1.59%,"1,12,493",2.8,25,35%,1.12%,0.09%
108,PRY,Paraguay,South America,6929153,6861524,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,"3,97,300",17,1.24%,"85,007",2.4,27,68%,1.19%,0.08%
109,KGZ,Kyrgyzstan,Asia,6916140,6735347,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,"1,20,340",35,1.36%,"92,527",2.2,26,58%,1.58%,0.08%
110,BGR,Bulgaria,Europe,6757689,6687717,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,"1,08,560",62,-0.56%,"-38,114",1.7,45,77%,-1.39%,0.08%
111,TKM,Turkmenistan,Asia,6736216,6516100,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,"87,460",14,-0.55%,"-36,985",1.5,44,73%,1.33%,0.08%
112,SLV,El Salvador,North America,6338193,6364943,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,"20,720",307,0.45%,"28,569",1.8,27,79%,0.45%,0.08%
113,COG,Republic of the Congo,Africa,6332961,6106869,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,"3,41,500",18,2.43%,"1,50,076",4.1,18,69%,2.29%,0.08%
114,SGP,Singapore,Asia,5977412,6014723,5975689,5909869,5650018,5163590,4053602,3022209,2400729,2061831,"42,430",8377,0.49%,"29,276",1.5,41,87%,0.65%,0.07%
115,DNK,Denmark,Europe,5832387,5910913,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,700,148,0.75%,"43,297",1,36,N.A.,0.49%,0.07%
